globalid,Survey123DB,SITECODE,SiteID,SiteType,collection_date,Visit_No,Latitude,Longitude,SiteName,State,Region,Stratum,Determination_Final,DeterminationStatus,HydroDataSource,OriginSource,OriginID,COMID,NHDPlus_Region,Determination_Hyd,Determination_Exp
{D8E6CC6B-7EE4-41EC-B53A-436FDC0ECADB},Flowduration003,AZAW0007,AZ_BIGSANDY.E,Validation,6/23/2019,1,35.16085,-113.63623,Big Sandy River at I-40,Arizona,ASW,AZ,E,Acceptable,,Mike Bogan,None,21400617,15,,E
{C9500F1D-2A9C-4A67-9BD5-FC33B7B90BF9},Flowduration003,AZAW0033,AZ_BMPLA.E,Validation,6/23/2019,1,34.41939,-113.24481,Placeritas Creek,Arizona,ASW,AZ,E,Acceptable,,John Olson,,21389968,15,,E
{A80CD7EC-27C9-4EB3-AC7E-2DC537105A18},Flowduration003,AZAW0042,AZ_BVBUW.E,Validation,6/25/2019,1,34.20669,-113.46353,Bullard Wash,Arizona,ASW,AZ,E,Acceptable,,John Olson,,21383672,15,,E
{F5A4BC1D-0264-47A9-BF2A-E838FFC093A0},Flowduration003,AZAW0041,AZ_BWIVW.E,Validation,6/25/2019,1,34.22966,-113.61269,Ives Wash,Arizona,ASW,AZ,E,Acceptable,,John Olson,,21383512,15,,E
{93DF0C9C-E1FC-47C6-9F1A-C3504D12778F},Flowduration004,AZAW0103,AZ_CHARLESTON.P,Validation,7/7/2019,1,31.62583,-110.17389,San Pedro River at Charleston Gauge,Arizona,ASW,AZ,P,Preferred,USGS stream gauge,Marcia Radke,USGS09471000,15932661,15,P,P
{A5C2D30D-6800-49D8-AA65-686E826F6D9E},Flowduration004,AZAW0081,AZ_CORTARO.P,Validation,7/5/2019,1,32.35111,-111.09389,Santa Cruz River at Cortaro,Arizona,ASW,AZ,P,Preferred,USGS stream gauge,USGS,USGS09486500,15903135,15,P,P
{16A2BF63-459F-4190-B074-839519FC5800},Flowduration004,AZAW0066,AZ_COTTONWOOD.E,Validation,7/1/2019,1,33.63414,-111.44473,Cottonwood Creek ,Arizona,ASW,AZ,E,Preferred,WildlifeCamera,Bryant Dickens and Patti Spindler,SRCOT005.74 ,20476930,15,E,E
{D8F05F1B-69EB-4422-B537-BA81DAA58ABE},Flowduration004,AZAW0046,AZ_CROUCH.P,Validation,6/30/2019,1,34.08969,-110.87365,CROUCH CREEK,Arizona,ASW,AZ,P,Preferred,WildlifeCamera,Bryant Dickens and Patti Spindler,SRCRO003.46,22437996,15,P,P
{0E5D804B-4D7A-42A3-BE8C-BD04D793C53B},Flowduration004,AZAW0082,AZ_DELORO.E,Validation,7/5/2019,1,32.33611,-111.04139,Canada del Oro at Ina Road,Arizona,ASW,AZ,E,Preferred,USGS stream gauge,Mike Bogan,USGS09486350,945050134,15,E,E
{06A7512C-EC2C-4C45-BDCA-E19DBEB59AB0},Flowduration003,AZAW0008,AZ_LEE.PI,Validation,6/27/2019,1,35.05045,-112.05359,LEE CANYON,Arizona,ASW,AZ,I,Preferred,WildlifeCamera,Bryant Dickens and Patti Spindler,VRLEC001.68,20449620,15,I,I
{C0854C17-4C53-4B78-B64B-92EEC9143492},Flowduration004,AZAW0105,AZ_LEWIS.P,Validation,7/8/2019,1,31.55444,-110.14,San Pedro River at Lewis Gauge,Arizona,ASW,AZ,P,Acceptable,,Marcia Radke,USGS09470920,15932809,15,,P
{05FAB0A8-0C7C-466D-A998-F3EFB60196AA},Flowduration004,AZAW0099,AZ_MATTIE.E,Validation,7/7/2019,1,31.83688,-110.56861,MATTIE CANYON,Arizona,ASW,AZ,E,Preferred,WildlifeCamera,Bryant Dickens and Patti Spindler,SCMTC002.23,15895658,15,E,E
{F4CD4AA2-04E4-4796-9EF8-F7CC6187F021},Flowduration004,AZAW0086,AZ_RILLITO1.E,Validation,7/5/2019,1,32.27139,-110.91389,Rillito at Dodge Blvd ,Arizona,ASW,AZ,E,Preferred,USGS stream gauge,Mike Bogan,USGS09485700,15894026,15,E,E
{E2366335-49BD-4F8C-8D76-29268EAA8633},Flowduration004,AZAW0085,AZ_RILLITO2.E,Validation,7/5/2019,1,32.30333,-111.01139,Rillto at La Cholla near guage 09486055,Arizona,ASW,AZ,E,Preferred,USGS stream gauge,Mike Bogan,USGS09486055,15892894,15,E,E
{E6CAFCC3-4129-4346-8F30-601CE8F27F3B},Flowduration004,AZAW0090,AZ_RINCON,Validation,7/8/2019,1,32.12944,-110.62528,Rincon Creek near USGS gauge 09485000,Arizona,ASW,AZ,I,Preferred,USGS stream gauge,Mike Bogan,USGS09485000,15895252,15,I,I
{638C1F3D-DD42-475B-8935-BD3B38D1E20B},Flowduration004,AZAW0084,AZ_SABINO.I,Validation,7/6/2019,1,32.31472,-110.81092,Sabino Canyon near USGS gauge 09484000,Arizona,ASW,AZ,I,Preferred,USGS stream gauge,Mike Bogan,USGS09484000,15893872,15,I,I
{1EA475D3-3DE8-4D02-BABB-807C24F4DC57},Flowduration003,AZAW0044,AZ_TANGLE.I,Validation,6/26/2019,1,34.13218,-111.77122,TANGLE CREEK,Arizona,ASW,AZ,I,Preferred,WildlifeCamera,Bryant Dickens and Patti Spindler,VRTGL006.60,20437442,15,I,I
{F71F10BB-4019-4382-A0DA-08C66DC3167C},Flowduration003,AZAW0006,AZ_TRUXTON.E,Validation,6/23/2019,2,35.38417,-113.65694,Truxton wash at USGS gauge,Arizona,ASW,AZ,I,Preferred,USGS stream gauge,Mike Bogan,USGS09404343,20667088,15,I,E
{AA7C0D16-05B2-4644-B18A-477AD8A0C2DD},Flowduration004,AZAW0006,AZ_TRUXTON.E,Validation,4/27/2019,1,35.38417,-113.65694,Truxton wash at USGS gauge,Arizona,ASW,AZ,I,Preferred,USGS stream gauge,Mike Bogan,USGS09404343,20667088,15,I,E
{E9877760-1F69-4FB2-B3B3-4338B0AADEF5},Flowduration004,AZAW0053,AZ_WALNUT.E,Validation,6/30/2019,1,33.88889,-111.21479,WALNUT CREEK,Arizona,ASW,AZ,E,Preferred,WildlifeCamera,Bryant Dickens and Patti Spindler,SRWLU004.15,22431676,15,E,E
{C5EC404D-BB29-4F4E-82C7-F1C25430F175},Flowduration004,COWM1030,BB1,Baseline,7/27/2019,1,39.85955,-105.44511,Bootlegger's Bottom,Colorado,WM,Central Rockies,Unknown,,,BPJ,,-9999,10L,,
{A8040277-D9A6-464C-8AA1-A116ED2FC39C},Flowduration003,COWM1030,BB1,Baseline,7/27/2019,0,39.85955,-105.44511,Bootlegger's Bottom,Colorado,WM,Central Rockies,Unknown,,,BPJ,,-9999,10L,,
{3913632E-4F21-4217-8FDC-5293276BB2AF},Flowduration003,COWM1030,BB1,Baseline,7/27/2019,0,39.85955,-105.44511,Bootlegger's Bottom,Colorado,WM,Central Rockies,Unknown,,,BPJ,,-9999,10L,,
{1B1CB449-1FA2-498A-8CB0-2FBB4DF6B658},Flowduration004,CAWM0525,CalfCk,Baseline,9/8/2019,1,40.35184,-123.97734,Calf Creek,California,WM,CA-NV,Unknown,,,Mason Landon,,8284770,18,,E
{2A82F82E-79D3-4687-BFEA-B776B0103DBE},Flowduration004,CAAW0247,CarmelDJB,Validation,7/19/2019,0,36.51046,-121.76952,Carmel River MPWMD gauge at Don Juan Bridge,California,ASW,CA,P,Preferred,MPWMD,MPWMD,,17599339,18,P,P
{7852F5B8-CC32-4CF1-8CD5-7571BCE472F8},Flowduration004,CAAW0394,CC_CHINON.E,Validation,5/13/2019,1,33.68708,-117.69542,Agua Chinon Wash,California,ASW,CA,E,Preferred,USGS stream gauge,Jonathan Humphrey,USGS11048200,20355400,18,E,E
{DA66138F-F86E-4FCD-8E03-8F78C8042F5C},Flowduration004,CAAW0412,CC_LTRABUCO.P,Validation,7/6/2019,1,33.49833,-117.665,Lower Trabuco near Del Obispo,California,ASW,CA,P,Preferred,USGS stream gauge,Jonathan Humphrey,901ATCDOS,20350681,18,P,P
{B95DFF1F-6304-4DA0-AB1D-141BF0B946B4},Flowduration004,CAAW0419,CC_SMAS.I,Validation,4/24/2019,0,33.45695,-116.97047,Santa Margarita River Arroyo Seco above Dripping Springs Campground,California,ASW,CA,I,Preferred,Hobo logger,Chad Loflen,902SMAS1x,22549515,18,I,I
{D03B5D74-2808-4E12-8915-956250367862},Flowduration004,CAAW0419,CC_SMAS.I,Validation,4/24/2019,1,33.45695,-116.97047,Santa Margarita River Arroyo Seco above Dripping Springs Campground,California,ASW,CA,I,Preferred,Hobo logger,Chad Loflen,902SMAS1x,22549515,18,I,I
{C4B26978-8955-4CB6-8D75-80412FBE9D97},Flowduration004,CAAW0426,CC_SMRCOTTON.I,Validation,4/26/2019,1,33.4192,-116.861,Cottonwood (Santa Margarita),California,ASW,CA,I,Acceptable,,Chad Loflen,902NP9CWC,22549643,18,,I
{C61EAE53-4AD7-4BEC-92E8-EDBD03091AD9},Flowduration003,CAAW0381,CD_CATHEDRAL.E,Validation,6/21/2019,1,33.79722,-116.48111,Palm Canyon Wash in Cathedral City,California,ASW,CA,E,Acceptable,USGS stream gauge,USGS,USGS10259050,948100382,18,E,
{68744FBF-49B6-4345-AD4B-196B11DB5F03},Flowduration003,CAAW0387,CD_MIRAGE.E,Validation,6/21/2019,1,33.74944,-116.42194,Whitewater River near Rancho Mirage,California,ASW,CA,E,Acceptable,USGS stream gauge,USGS,USGS10259100,22593529,18,E,
{9076BD8E-DCDC-45DE-8457-1211F00126D1},Flowduration004,CAAW0354,CD_MISSION.I1,Validation,6/20/2019,1,34.007,-116.622,Mission Creek,California,ASW,CA,I,Preferred,Hobo Logger,Andy Rehn,719MISSCK,22591029,18,I,I
{154E678D-3747-49B3-9174-729254332606},Flowduration003,CAAW0332,CD_PIPES.E,Validation,6/20/2019,1,34.166,-116.572,Pipes Canyon,California,ASW,CA,I,Preferred,Hobo Logger,Andy Rehn,705PCCPCP,22630702,18,I,I
{94C24C07-5D79-4B5C-A38D-526D0FF60B1A},Flowduration003,CAAW0377,CD_THOUSANDPALMS.P,Validation,6/20/2019,1,33.83,-116.311,Thousand Palms Preserve,California,ASW,CA,P,Preferred,Hobo Logger,Andy Rehn,719TPPSQH,22591993,18,P,P
{96DD6C9A-2A33-45D9-B3DC-D829AAC6B199},Flowduration004,COAW0792,CoalBedTrib,Validation,7/28/2019,1,37.81234,-109.02357,Coal Bed canyon,Colorado,ASW,CO-WY-UT-MT,Unknown,,,NONE,,3272756,14,,
{0A373DEB-B4D1-4FAB-8B02-DD28649DFBB0},Flowduration004,WYWM1523,FishermanTrib,Baseline,8/6/2019,1,43.13794,-110.28984,Prosper Tributary to Fisherman's Creek,Wyoming,WM,Northern Rockies,Unknown,,,Prosper Model,,24433535,17,,
{BD0FC776-F618-41D7-9E7B-ECC757B2B8F1},Flowduration004,COAW0777,GV02,Validation,7/30/2019,1,38.773,-108.2285,GV Hwy50 @ 730 Rd,Colorado,ASW,CO-WY-UT-MT,E,Acceptable,Stream Tracker,Stephanie Kampf,GV Hwy50 @ 730 Rd,3232461,14,E,E
{AEB37E53-6D67-499B-A44C-3D8B3D12FAC7},Flowduration004,WYWM1521,HobackTrib,Baseline,8/6/2019,1,43.1555,-110.37475,Prosper Tributary to Hoback,Wyoming,WM,Northern Rockies,Unknown,,,Prosper Model,,24432491,17,,
{1B77F8A2-DC2C-45F9-876B-7480FBE34141},Flowduration004,AZAW0032,HR1,Case Study,9/24/2019,1,34.43316,-112.41875,Hassayampa River 1 at wetlands site,Arizona,ASW,AZ,P,Acceptable,,ADEQ,MGHSR113.86,20402993,15,,
{DC37829E-DEA9-485A-873D-D2BD7C2665C5},Flowduration004,AZAW0051,HR2,Case Study,9/24/2019,1,33.96906,-112.72501,Hassayampa River 2 at Wickenburg Rotary,Arizona,ASW,AZ,E,Acceptable,,ADEQ,,20403863,15,,
{18F1B7F2-30B8-4442-8996-A6C3CCD5376B},Flowduration004,AZAW0065,HR4,Case Study,9/25/2019,1,33.643,-112.72083,Hassayampa River 4 at CAP crossing,Arizona,ASW,AZ,E,Acceptable,,ADEQ,,20405177,15,,
{E7723A40-D609-4386-9731-CD2DC21FD69A},Flowduration004,NVAW1234,IntSpring_LWR,Validation,8/30/2019,1,36.15423,-115.72707,Trib below Kiup spring,Nevada,ASW,NV,E,Acceptable,,Boris Poff,,12085849,16,,E
{49FBD2CF-8701-4FAF-B1AE-E71EC2160C27},Flowduration004,COWM0862,KAMPF_04,Baseline,7/26/2019,1,40.69156,-105.31092,Hewlett Gulch,Colorado,WM,Central Rockies,I,Preferred,capacitance rod,Stephanie Kampf,Hewlett Gulch,2899345,10L,I,I
{C07FE7FD-F1DB-422C-98FB-8648BE6493CA},Flowduration004,COWM0973,KAMPF_09,Baseline,8/13/2019,1,40.51454,-105.88383,Michigan Ditch 1,Colorado,WM,Central Rockies,P,Preferred,capacitance rod,Stephanie Kampf,Michigan Ditch 1,15998922,10L,P,P
{A8D73FFA-AE56-49FB-9EE7-ED8180B3B084},Flowduration004,COAW0765,KAMPF_11,Validation,8/14/2019,1,39.04028,-108.71855,CNM Intermittent,Colorado,ASW,CO-WY-UT-MT,I,Preferred,capacitance rod,Stephanie Kampf,CNM Intermittent,3179024,14,I,I
