Database,ParentGlobalID,SiteName,Assessors,Recorder,QA,CollectionDate,CreationDate,Creator,EditDate,Lat_field,Long_field,Weather,PctCloudCover,Disturbances,Disturbances_details,Bankwidth_0,Bankwidth_15,Bankwidth_30,ReachLength_targ,ReachLength_actual,Slope,Landuse,Lanuse_Notes,Riparian_yn,ErosionDeposition_yn,FloodplainConnectivity_yn,SurfaceFlow_pct,SurfaceSubsurfaceFlow_pct,IsolatedPools_number,SeepsSprings_yn,WaterInChannel_score,WaterInChannel_notes,HydricSoils_score,HydricSoils_locations,HydricSoils_notes,WoodyJams_number,WoodyJams_source,WoodyJams_notes,UplandRootedPlants_score,UplandRootedPlants_notes,SedimentOnPlantsDebris_score,SedimentOnPlantsDebris_notes,SoilMoisture1,SoilMoisture2,SoilMoisture3,SoilTexture1,SoilTexture2,SoilTexture3,Sinuosity_score,Sinuousity_method,Sinuosiy_notes,ChannelDimensions_score,ChannelDimensions_method,RifflePoolSeq_score,RifflePoolSeq_notes,SubstrateSorting_score,SubstrateSorting_notes,Fish_score,BMI_score,Algae_score,Mosquitofish,Vertebrate_notes,IOFB_yn,Snakes_yn,Snakes_abundance,Turtles_yn,Turtles_abundance,Amphibians_yn,Amphibians_abundance,FrogVocalizations_yn,BiologicalIndicators_notes,AlgalCover_Live,AlgalCover_Dead,AlgalCover_Upstream,AlgalCover_notes,dens_UU,dens_UL,dens_UR,dens_UD,dens_MU,dens_ML,dens_MR,dens_MD,dens_DU,dens_DL,dens_DR,dens_DD,Moss_cover,Liverwort_cover,Bryophyte_notes,DifferencesInVegetation_score,DifferencesInVegetation_notes,NWPL_checklist,Additional_notes,PctCover,SiteCode_Original,SiteCode,CalcTime
FlowDuration004,f42c2ade-0d3f-4420-8809-bb4cdb5d4afa,East Fork White River,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-03T07:00:00Z,2019-07-06T01:16:51Z,NA,2019-07-06T01:16:51Z,33.82242695,-109.8149113,clearsunny,NA,NA,None,3.8,4,4.5,143.5,164,5,"forested,other_describe",Dirt road and bridge,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,1.5,visual estimate,3,NA,3,NA,1,3,3,no,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,14,15,17,16,17,16,17,16,16,15,15,12,notdetected,<2%,NA,3,NA,westmountains,NA,NA,USGS9492400,AZWM0124,2021-08-05T23:09:55Z
FlowDuration004,38ccb345-a4fc-4d78-b601-fcfd4d878355,Newman Canyon above upper lake,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-02T07:00:00Z,2019-07-06T01:17:03Z,NA,2019-07-06T01:17:03Z,35.05658448,-111.4905942,clearsunny,NA,NA,None,7,8,9,280,200,3,forested,NA,yes,yes,no,0,0,2,notdectected,2,NA,0,3,NA,0,yes,NA,1,NA,0,NA,saturated,dry,partiallydry,clay,loamysand,loam,2,visual estimate,Channel is boulders and bedrock,0.75,visual estimate,2,NA,1.5,Channel dominated with boulders,1,1,1,no,NA,notdectected,notdectected,NA,notdectected,NA,present,Greater than 10. Larval salamander and tadpole,notdectected,Crawfish,<2%,notdetected,NA,NA,0,8,2,0,0,11,14,1,0,2,9,0,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,USGS9400815,AZWM0114,2021-08-05T23:09:55Z
FlowDuration004,acc41397-c6a2-48d0-9b32-e583338e14d8,Webber Cr ab west fork,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-01T07:00:00Z,2019-07-06T01:17:20Z,NA,2019-07-06T01:17:20Z,34.41131886,-111.373838,cloudy,30,"diversions,other",Concrete trail at top of section. Water pipe above channel,5.5,4.5,4,163.3333333,180,3.5,"developed,forested,other_describe",Youth camp. Bathroom building,yes,yes,yes,100,NA,NA,notdectected,6,NA,3,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,1.5,visual estimate,3,NA,3,NA,1,3,2,no,NA,present,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,2-10%,notdetected,NA,NA,16,15,16,16,14,17,17,17,12,17,17,17,>10%,notdetected,NA,3,NA,westmountains,NA,NA,USGS9507700,AZWM0119,2021-08-05T23:09:55Z
FlowDuration004,1ba3f45e-fe23-4123-939c-d0270b57caa7,Milk Creek,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-15T06:00:00Z,2019-07-16T17:27:16Z,NA,2019-07-16T17:27:16Z,33.94533644,-109.1548673,cloudy,50,NA,None,1.5,1.2,0.7,39.66666667,45,5,"agricultural,forested",Pasture,yes,yes,yes,100,NA,NA,notdectected,6,NA,3,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,3,visual estimate,NA,3,visual estimate,3,NA,3,NA,0,3,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,10,13,16,12,13,16,16,14,17,17,17,17,notdetected,>10%,NA,3,NA,westmountains,"300 meters downstream meadow ends, becomes narrow in canyon. Creek covered in vegetation fron banks.",NA,LCMLK002.50,AZWM0123,2021-08-05T23:09:55Z
FlowDuration004,6f2784b1-7685-4527-a746-547cf66eb752,USGS8387800,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-12T06:00:00Z,2019-07-16T17:27:41Z,NA,2019-07-16T17:27:41Z,33.39155003,-105.6114219,cloudy,20,NA,None,2.4,2.1,2.7,84,96,1,"forested,urban",1 house and road,yes,yes,yes,0,0,0,notdectected,0,NA,0,0,NA,1,yes,NA,1.5,NA,0,NA,dry,partiallydry,dry,siltloam,siltloam,loamysand,2,visual estimate,NA,1.5,"visual estimate.
Mainly active, mid reach is confined",3,NA,3,NA,0,1,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,notdetected,NA,NA,1,5,11,15,17,17,17,16,15,17,11,9,notdetected,notdetected,NA,1.5,NA,westmountains,NA,NA,Eagle Creek near Alto,NMWM1335,2021-08-05T23:09:55Z
FlowDuration004,f8f18945-c66f-4fcf-aab3-b2d5846a783d,Nutrioso creek above Nelson Res,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-15T06:00:00Z,2019-07-16T17:28:52Z,NA,2019-07-16T17:28:52Z,34.03009529,-109.1862411,cloudy,80,NA,None,1.9,2.7,1.7,73.5,84,1,other_natural,Road and wildlife grazing,no,yes,yes,100,NA,NA,notdectected,6,NA,3,3,NA,0,no,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,3,"visual estimate
Floodplain ratio greater than 2.5 due to narrow but deep bankfull.",2,NA,1.5,NA,0,2,0,NA,Pair of otoliths found.,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,Greater than 10 orconectes. Spp. Crayfish,notdetected,notdetected,NA,NA,0,0,0,0,0,1,1,0,0,2,3,0,notdetected,notdetected,NA,2,NA,westmountains,NA,NA,USGS9383500,AZWM0121,2021-08-05T23:09:55Z
FlowDuration004,a673b832-f1f2-4f4d-8028-654ef39e1d05,Pueblo Canyon 2,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-21T06:00:00Z,2019-07-23T02:31:14Z,NA,2019-07-23T02:31:14Z,35.88835482,-106.2974471,cloudy,70,NA,None,3.3,2.5,6.5,143.5,160,4.5,"forested,other_natural",Trail following channel,yes,yes,yes,0,0,0,notdectected,0,NA,0,3,NA,0,yes,NA,2,NA,0,NA,partiallydry,dry,partiallydry,loamysand,loamysand,sandyloam,1.5,visual estimate,NA,1.5,visual estimate,3,NA,3,NA,0,0,0,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,notdetected,<2%,no,NA,7,8,6,6,3,13,10,5,12,8,2,8,notdetected,notdetected,NA,1.5,2 species of willow,westmountains,NA,NA,P1EAST,NMWM1319,2021-08-05T23:09:55Z
FlowDuration004,4cc21818-81ba-42d2-b873-fa822b1f1cd7,Pueblo Canyon 1,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-21T06:00:00Z,2019-07-23T02:31:29Z,NA,2019-07-23T02:31:29Z,35.89035575,-106.3080932,cloudy,80,NA,None,4.3,3.6,4.8,148.1666667,169,6,forested,NA,yes,yes,no,70,100,3,notdectected,6,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,2,visual estimate,NA,0.75,visual estimate,3,NA,3,NA,0,2,2,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,5,14,11,11,3,14,12,4,17,17,16,11,notdetected,notdetected,NA,3,NA,westmountains,Deep in canyon,NA,P1WEST,NMWM1318,2021-08-05T23:09:55Z
FlowDuration004,aa0c72d2-e75d-4f8c-9514-00c33cc5a0b1,Costilla Creek near Costilla,Matt robinson and emma haine,Not recorded,Not recorded,2019-07-24T06:00:00Z,2019-07-25T22:45:42Z,NA,2019-07-25T22:45:42Z,36.96646534,-105.5071937,clearsunny,NA,NA,None,7.5,7.5,7.5,262.5,200,3,other_natural,Road and bridge,yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,1.5,visual estimate,2,NA,3,NA,0,3,3,NA,No macroalgae found but biofilm present,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,>40%,notdetected,NA,NA,9,1,14,1,7,5,14,3,0,0,3,3,notdetected,notdetected,NA,3,NA,westmountains,"Slope estimated. Heavily vegetated banks. Cannot stand in thalweg.
Lost nearly all invert samples due to high velocity flow. Simuliidaes and glossomatids oberved on rocks prior to scraping into net.
Very fast water. Large boulders present and good mixing.",NA,USGS8255500,NMWM1303,2021-08-05T23:09:55Z
FlowDuration004,ad58b192-5a36-493c-8632-1ea74271890c,Costilla creek near Garcia,Matt robinson and emma haines,Not recorded,Not recorded,2019-07-23T23:40:00Z,2019-07-25T22:46:04Z,NA,2019-07-25T22:46:04Z,36.98893379,-105.5325745,cloudy,100,NA,None,4.2,3.3,3.4,127.1666667,142,2,"agricultural,urban","Pasture, residential and open lot",yes,yes,yes,100,NA,NA,notdectected,6,NA,0,3,NA,0,yes,NA,3,NA,0,NA,NA,NA,NA,NA,NA,NA,1,visual estimate,NA,3,visual estimate,1,Gravel and cobble bottom,1.5,NA,0,3,3,NA,NA,notdectected,notdectected,NA,notdectected,NA,notdectected,NA,notdectected,NA,10-40%,notdetected,NA,NA,6,16,4,9,1,15,17,0,0,0,2,2,notdetected,notdetected,NA,2,NA,westmountains,Lots of freshwater sponges observed,NA,USGS8261000,NMWM1301,2021-08-05T23:09:55Z
