Set,Latitude,Longitude,SiteNum,State,Region,Stratum,Determination_Final,Determination_Final_Notes,DeterminationStatus,OriginSource,OriginID,Notes,COMID,NHDPlus_Region,SourceType,DateSampled,Database,VisitNo,DateTime,SiteCode,ParentGlobalID,CalcTime,Zyear,Myear,Dyear,FritzClass,Determination_Updated
Validation,35.14603,-112.06036,113,Arizona,WM,Southern Rockies,I,NA,Preferred,AZDEQ,VRUBS001.35,NA,20449408,15,NA,6/22/2020,Validation 1_1,1,6/22/2020,AZWM0113,d6ba2912-4748-4d8f-9a96-2b1e69933e22,8/5/2021 16:12,NA,NA,NA,NA,I
Baseline,35.05494,-111.48922,114,Arizona,WM,Southern Rockies,I,NA,Acceptable,USGS,9400815,NA,20525511,15,NA,7/2/2019,FlowDuration004,1,7/2/2019,AZWM0114,38ccb345-a4fc-4d78-b601-fcfd4d878355,8/5/2021 16:12,190.1253482,172,150,I-epi,I
Baseline,35.05494,-111.48922,114,Arizona,WM,Southern Rockies,I,NA,Acceptable,USGS,9400815,NA,20525511,15,NA,6/24/2020,Baseline Revisits 1_1,2,6/24/2020,AZWM0114,bf913270-9599-4dbc-a778-860d677df696,8/5/2021 16:12,190.1253482,172,150,I-epi,I
Baseline,35.05494,-111.48922,114,Arizona,WM,Southern Rockies,I,NA,Acceptable,USGS,9400815,NA,20525511,15,NA,10/22/2020,Baseline Revisits 1_1,3,10/22/2020,AZWM0114,202bbca0-2f64-4762-b88d-535599265500,8/5/2021 16:12,190.1253482,172,150,I-epi,I
Validation,34.73031,-111.10227,115,Arizona,WM,Southern Rockies,I,NA,Preferred,AZDEQ,LCJCC045.76,NA,21745385,15,NA,6/25/2020,Validation 1_1,1,6/25/2020,AZWM0115,e44e220f-f2fb-42d9-a996-90148feb8234,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,34.51868,-110.98674,116,Arizona,WM,Southern Rockies,I,NA,Preferred,AZDEQ,LCWIL018.74,NA,21746889,15,NA,6/26/2020,Validation 1_1,1,6/26/2020,AZWM0116,de05a632-b60f-41f0-9bb7-3bd1b85d4874,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,34.43502,-111.03547,118,Arizona,WM,Southern Rockies,I,NA,Preferred,AZDEQ,LCTRK005.19,NA,21747777,15,NA,6/26/2020,Validation 1_1,1,6/26/2020,AZWM0118,a0f203bc-432a-4aa8-99f9-001032897384,8/5/2021 16:12,NA,NA,NA,NA,I
Validation,34.41114,-111.37292,119,Arizona,WM,Southern Rockies,P,NA,Acceptable,USGS,9507700,Very old,20438172,15,NA,6/25/2020,FlowDuration004,1,6/25/2020,AZWM0119,acc41397-c6a2-48d0-9b32-e583338e14d8,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,34.17949,-109.98789,120,Arizona,WM,Southern Rockies,P,NA,Acceptable,USGS,9390500,NA,21756096,15,NA,6/28/2020,Validation 1_1,1,6/28/2020,AZWM0120,c76f08e4-6b74-4646-adac-10b529965319,8/5/2021 16:12,NA,NA,NA,NA,P
Baseline,34.03033,-109.18647,121,Arizona,WM,Southern Rockies,I,NA,Acceptable,USGS,9383500,NA,20585806,15,NA,7/15/2019,FlowDuration004,1,7/15/2019,AZWM0121,f8f18945-c66f-4fcf-aab3-b2d5846a783d,8/5/2021 16:12,0,352,0,P-near,I
Baseline,34.03033,-109.18647,121,Arizona,WM,Southern Rockies,I,NA,Acceptable,USGS,9383500,NA,20585806,15,NA,6/30/2020,Baseline Revisits 1_1,2,6/30/2020,AZWM0121,ea460102-636d-4851-bbae-ff36dafc0b20,8/5/2021 16:12,0,352,0,P-near,I
Baseline,34.03033,-109.18647,121,Arizona,WM,Southern Rockies,I,NA,Acceptable,USGS,9383500,NA,20585806,15,NA,10/21/2020,Baseline Revisits 1_1,3,10/21/2020,AZWM0121,1d2147ff-0236-49b0-a87b-13047f0ae268,8/5/2021 16:12,0,352,0,P-near,I
Validation,34.01671,-109.45731,122,Arizona,WM,Southern Rockies,P,NA,Acceptable,USGS,9383400,NA,20585814,15,NA,6/29/2020,Validation 1_1,1,6/29/2020,AZWM0122,7ca8797c-c951-4904-84b3-b8416ca7cb43,8/5/2021 16:12,NA,NA,NA,NA,P
Baseline,33.94512,-109.15467,123,Arizona,WM,Southern Rockies,I,NA,Preferred,AZDEQ,LCMLK002.50,NA,20586762,15,NA,7/15/2019,FlowDuration004,1,7/15/2019,AZWM0123,1ba3f45e-fe23-4123-939c-d0270b57caa7,8/5/2021 16:12,0,352,0,P-near,P
Baseline,33.94512,-109.15467,123,Arizona,WM,Southern Rockies,I,NA,Preferred,AZDEQ,LCMLK002.50,NA,20586762,15,NA,6/30/2020,Baseline Revisits 1_1,2,6/30/2020,AZWM0123,49c485c8-2684-4cad-9c99-a4a53f92526f,8/5/2021 16:12,0,352,0,P-near,P
Baseline,33.94512,-109.15467,123,Arizona,WM,Southern Rockies,I,NA,Preferred,AZDEQ,LCMLK002.50,NA,20586762,15,NA,10/21/2020,Baseline Revisits 1_1,3,10/21/2020,AZWM0123,e2338230-e54b-49c4-8132-6a67aa7b3ec5,8/5/2021 16:12,0,352,0,P-near,P
Baseline,33.82227,-109.81454,124,Arizona,WM,Southern Rockies,P,NA,Acceptable,USGS,9492400,NA,20488086,15,NA,7/3/2019,FlowDuration004,1,7/3/2019,AZWM0124,f42c2ade-0d3f-4420-8809-bb4cdb5d4afa,8/5/2021 16:12,NA,NA,NA,NA,P
Baseline,33.82227,-109.81454,124,Arizona,WM,Southern Rockies,P,NA,Acceptable,USGS,9492400,NA,20488086,15,NA,10/21/2020,Baseline Revisits 1_1,3,10/21/2020,AZWM0124,ad7b7a4c-eae3-460d-8627-d1edc3df6449,8/5/2021 16:12,NA,NA,NA,NA,P
Validation,34.156,-109.8806,1588,Arizona,WM,Southern Rockies,E,No flow in summer except after rain. They may trickle with snowmelt but not a huge amount,Acceptable,Navajo County Alerts,None,https://www.navajocountyaz.gov/Departments/Public-Works/Flood-Control/Navajo-County-ALERT-System,NA,NA,NA,6/29/2020,Validation 1_1,1,6/29/2020,AZWM1588,fca5dc86-54e4-4ea1-aa7f-58212ac9a75e,8/5/2021 16:12,NA,NA,NA,NA,E
Validation,34.43172,-110.59955,1590,Arizona,WM,Southern Rockies,E,No flow in summer except after rain,Acceptable,Navajo County Alerts,None,https://www.navajocountyaz.gov/Departments/Public-Works/Flood-Control/Navajo-County-ALERT-System,NA,NA,NA,6/27/2020,Validation 1_1,1,6/27/2020,AZWM1590,8fa8f2c7-4460-4090-98e3-b31c0cd165bf,8/5/2021 16:12,NA,NA,NA,NA,E
